Protein_name,Gene_name,Feature_name,UP_accession,Biofilm_NTS,Planktonic_NTS,Ratio
Bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase,"ADE5,7",CAALFM_C107890CA,A0A1D8PE67,0.63,4.6,0.14
Carnitine O-acetyltransferase,CAT2,CAALFM_C402020WA,Q5AMQ5,0.58,4.22,0.14
Dipeptidyl peptidase 3,,CAALFM_C603960WA,A0A1D8PQB4,0.16,1.15,0.14
Isocitrate dehydrogenase [NADP],IDP1,CAALFM_C205890CA,A0A1D8PHH7,0.23,1.72,0.14
Age3p,AGE3,CAALFM_C102260CA,A0A1D8PCP6,0.08,0.57,0.13
Peptidyl-prolyl cis-trans isomerase (PPIase),CPR3,CAALFM_C202320CA,Q5ALM6,0.08,0.57,0.13
Uncharacterized protein,,CAALFM_C202540WA,A0A1D8PGR5,0.08,0.57,0.13
Histidine biosynthesis trifunctional protein,HIS4,CAALFM_C400140CA,A0A1D8PKY7,0.08,0.57,0.13
Uncharacterized protein,,CAALFM_C400410WA,Q59UQ1,0.08,0.57,0.13
Fre7p,FRE7,CAALFM_CR07290WA,A0A1D8PTG2,0.08,0.57,0.13
Ribosomal 40S subunit protein S3,RPS3,CAALFM_CR04810WA,A0A1D8PSV5,2.03,15.52,0.13
Histone H2A.Z,HTZ1,CaO19.327,Q5AEE1,0.18,1.41,0.13
Hexose transporter,HGT6,CAALFM_C201020WA,Q5AD47,1.25,9.84,0.13
Aspartate aminotransferase,AAT21,CAALFM_CR07620WA,Q59N40,0.7,5.62,0.13
Osm1p,OSM1,CAALFM_C205700WA,Q59T35,1.22,9.84,0.12
Very-long-chain 3-oxoacyl-CoA reductase,,CaO19.11340,Q59V93,0.17,1.41,0.12
Acetyl-CoA hydrolase,ACH1,CaO19.10681,P83773,2.14,17.44,0.12
Erv29p,ERV29,CAALFM_C402120WA,Q5AMR7,0.17,1.41,0.12
Carnitine:acyl carnitine antiporter,CRC1,CAALFM_CR01980CA,Q5A967,0.17,1.41,0.12
Pyruvate carboxylase,PYC2,CAALFM_C403940CA,A0A1D8PLY4,1.85,15.52,0.12
ATP-dependent RNA helicase,SUB2,CAALFM_C400220CA,A0A1D8PKZ3,1.09,9.2,0.12
Cys-Gly metallodipeptidase,DUG1,CaO19.11397,Q5AKA5,2.9,24.73,0.12
Aspartate transaminase,AAT1,CAALFM_C205250CA,A0A1D8PHC9,0.87,7.47,0.12
Acetyl-coenzyme A synthetase 2,ACS2,CaO19.1064,Q8NJN3,3.68,32.9,0.11
Uncharacterized protein,,CAALFM_C100700WA,Q5ABD5,0.16,1.41,0.11
4-nitrophenylphosphatase (PNPPase),PHO15,CAALFM_C107230WA,Q59WC5,0.16,1.41,0.11
Histone H2B.2,HTB2,CaO19.1052,Q59VP1,0.76,7.03,0.11
Ribosomal 60S subunit protein L9B,RPL9B,CAALFM_C302470CA,Q5AEN2,2.32,21.66,0.11
AAA family ATPase,SEC18,CAALFM_C113580WA,A0A1D8PFN6,0.18,1.72,0.1
Translation initiation factor eIF2 subunit gamma,GCD11,CAALFM_C502170CA,Q5AGF6,1.28,12.65,0.1
Ribonucleotide-diphosphate reductase subunit,RNR21,CAALFM_C203010CA,Q5A0L0,0.56,5.62,0.1
"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase)",RIB4,CAALFM_C105560WA,A0A1D8PDK6,0.17,1.72,0.1
Csp37p,CSP37,CAALFM_CR01470WA,Q5A9D4,0.8,8.43,0.1
Bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase,ARO8,CAALFM_C200340CA,A0A1D8PG20,0.63,6.9,0.09
Phospho-2-dehydro-3-deoxyheptonate aldolase,ARO3,CAALFM_C202030WA,A0A1D8PGI8,0.16,1.72,0.09
60S ribosomal protein L36,RPL39,CAALFM_C203960WA,A0A1D8PH21,0.16,1.72,0.09
Uncharacterized protein,,CAALFM_C304650WA,Q5ANH8,0.37,4.22,0.09
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",LSC2,CAALFM_CR06760CA,A0A1D8PTB5,0.69,8.05,0.09
Acid phosphatase,PHO113,CAALFM_CR02180WA,Q59UY6,2.94,34.31,0.09
F1F0 ATP synthase subunit i,ATP18,CAALFM_C200610CA,A0A1D8PG50,0.1,1.15,0.08
40S ribosomal protein S27,RPS27,CAALFM_CR07630CA,A0A1D8PTI7,0.1,1.15,0.08
Chaperone ATPase,HSP104,CAALFM_CR08250CA,A0A1D8PTP9,1.36,16.67,0.08
Uncharacterized protein,,CAALFM_C101490WA,Q5A8Z9,0.56,7.03,0.08
Ribosomal 60S subunit protein L7A,,CAALFM_C105720WA,A0A1D8PDL6,0.94,12.07,0.08
Cytochrome c oxidase subunit 1,COX1,CaalfMp08,P0C8K9,0.33,4.22,0.08
Mannose-1-phosphate guanyltransferase,MPG1,CaO19.6190,O93827,2.04,26.71,0.08
Elongation factor 3 (EF-3),CEF3,CaO19.11629,P25997,9.35,122.6,0.08
Cytochrome c oxidase subunit Va,COX5,CAALFM_C109030CA,Q5APK5,0.63,8.43,0.08
Png2p,PNG2,CAALFM_C205660WA,A0A1D8PHH2,0.17,2.3,0.07
Glyceraldehyde-3-phosphate dehydrogenase,TDH3,CAALFM_C306870WA,Q5ADM7,20.32,277.59,0.07
ATP-dependent 6-phosphofructokinase (ATP-PFK),PFK2,CAALFM_C701800CA,Q5AGZ8,2.13,30.35,0.07
Rab family GTPase,VPS21,CAALFM_CR08060CA,Q59X89,0.16,2.24,0.07
Replication protein A subunit,RFA1,CAALFM_C200380CA,Q5ACX4,0.1,1.41,0.07
V-type proton ATPase subunit a,VPH1,CAALFM_C405240CA,Q59R99,0.2,2.81,0.07
Ribosomal 60S subunit protein L11B,RPL11,CAALFM_C206810CA,A0A1D8PHW1,0.63,9.2,0.07
Diphosphomevalonate decarboxylase,MVD,CAALFM_C100070WA,A0A1D8PC43,0.16,2.3,0.07
Proteasome regulatory particle lid subunit,RPN5,CAALFM_C505380WA,A0A1D8PP77,0.16,2.3,0.07
Putative Rab GTPase-binding protein,SRO77,CAALFM_C600410CA,Q59RK1,0.1,1.41,0.07
Proteasome regulatory particle lid subunit,,CAALFM_C201320WA,A0A1D8PGA6,0.19,2.87,0.07
Serine/threonine-protein phosphatase,PPH21,CAALFM_C301600WA,A0A1D8PJ80,0.15,2.3,0.07
40S ribosomal protein S4,RPS4A,CAALFM_C210620WA,Q5A5Q8,1.61,24.47,0.07
Adenylate kinase,ADK1,CaO19.10894,Q5A4Q1,0.64,9.84,0.07
Putative mannosyltransferase,KTR4,CAALFM_C104000CA,Q59QH4,0.18,2.81,0.06
Bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase,GAL10,CAALFM_C102150WA,A0A1D8PCN0,0.25,4.02,0.06
ATP-dependent RNA helicase,DHH1,CaO19.13577,Q5AAW3,0.17,2.81,0.06
Guanosine-diphosphatase (GDPase),GDA1,CaO19.7394,Q8TGH6,1.04,16.87,0.06
Gst2p,GST2,CAALFM_C402990CA,Q5AFB4,0.17,2.81,0.06
Uncharacterized protein,,CAALFM_C603320WA,A0A1D8PQ54,0.31,5.17,0.06
Glycerol-3-phosphate dehydrogenase [NAD(+)],GPD2,CAALFM_C602010CA,Q59W33,0.25,4.22,0.06
Uncharacterized protein,,CAALFM_C303410CA,Q5AED0,0.5,8.43,0.06
Oxidoreductase,,CAALFM_C401510WA,Q5AML3,0.25,4.22,0.06
Methionine--tRNA ligase,MES1,CAALFM_C504700CA,A0A1D8PP21,0.6,10.35,0.06
Translation initiation factor eIF4G,TIF4631,CAALFM_C208760CA,A0A1D8PI73,0.1,1.72,0.06
Ribosomal 60S subunit protein L34B,,CAALFM_C106890CA,A0A1D8PDZ1,0.1,1.72,0.06
T-complex protein 1 subunit delta,,CAALFM_C402780WA,A0A1D8PLN3,0.1,1.72,0.06
"Cytochrome b-c1 complex subunit 2, mitochondrial",QCR2,CaO19.10167,P83782,1.54,28.11,0.05
Arginine--tRNA ligase,,CAALFM_C101530CA,A0A1D8PCI5,0.31,6.32,0.05
Adenine phosphoribosyltransferase (APRT),APT1,CaO19.1448,Q5ALX8,0.55,11.24,0.05
Adenylosuccinate synthetase (AMPSase) (AdSS),ADE12,CaO19.12290,P0CH96,0.96,19.68,0.05
40S ribosomal protein S7,RPS7A,CAALFM_C301490WA,Q5AJ93,0.8,16.87,0.05
Lys22p,LYS22,CAALFM_C204460WA,Q59TC4,1.17,25.04,0.05
Ali1p,ALI1,CAALFM_C301410CA,A0A1D8PJ73,0.16,3.45,0.05
Respiratory growth induced protein 1,RGI1,CaO19.1354,Q59KG2,0.81,18.02,0.04
V-type proton ATPase subunit,,CAALFM_C400020WA,A0A1D8PKX3,0.08,1.72,0.04
Pyrroline-5-carboxylate reductase,PRO3,CAALFM_C400240CA,A0A1D8PKZ7,0.08,1.72,0.04
Mitogen-activated protein kinase MKC1,MKC1,CaO19.7523,Q5AAG6,0.1,2.24,0.04
Ribosomal 40S subunit protein S19A,RPS19A,CAALFM_C305200WA,A0A1D8PK61,0.34,8.05,0.04
Hsp70 family ATPase,SSB1,CAALFM_CR08090WA,Q5A397,3.54,86.63,0.04
Acetyl-CoA carboxylase,ACC1,CAALFM_CR00640WA,A0A1D8PRR7,0.78,19.54,0.04
Uncharacterized protein,,CAALFM_CR09140CA,A0A1D8PTW2,0.17,4.6,0.04
"Heat shock protein 60, mitochondrial (60 kDa chaperonin)",HSP60,CaO19.717,O74261,0.25,7.03,0.04
Candidapepsin-3,SAP3,CaO19.13422,P0CY29,0.41,11.82,0.03
Ribosomal 60S subunit protein L21A,RPL21A,CAALFM_C203810CA,A0A1D8PGY0,0.16,4.6,0.03
Ribosomal 60S subunit protein L5,RPL5,CAALFM_C701790CA,Q5AGZ7,1.29,37.69,0.03
Translation elongation factor 1 subunit beta,EFB1,CAALFM_C404480CA,A0A1D8PM35,0.08,2.3,0.03
Proteasome regulatory particle lid subunit,RPN7,CAALFM_CR08910CA,A0A1D8PTV0,0.08,2.3,0.03
Long-chain fatty acid-CoA ligase,FAA4,CAALFM_CR10160WA,A0A1D8PU56,0.08,2.3,0.03
Glycylpeptide N-tetradecanoyltransferase,NMT1,CaO19.12111,P30418,0.17,5.62,0.03
Actin-related protein 3,ARP3,CAALFM_C207320WA,Q59Z11,0.17,5.62,0.03
Pho112p,PHO112,CAALFM_CR02400WA,A0A1D8PS71,0.38,13.22,0.03
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDH12,CAALFM_C406610CA,Q5A1E8,0.57,19.68,0.03
60S ribosomal protein L13,RPL13,Ca49C10.02,O59931,0.15,5.62,0.03
Ribosomal 40S subunit protein S10A,RPS10,CAALFM_C208040CA,A0A1D8PI15,0.16,5.75,0.03
Increased recombination centers protein 22-2,IRC22-2,CaO19.1782,Q59XW9,0.08,2.81,0.03
Coatomer subunit delta,RET2,CAALFM_C502300CA,A0A1D8PND9,0.08,2.87,0.03
Phosphoglycerate dehydrogenase,SER33,CAALFM_C112030WA,Q5A3K7,0.7,26.71,0.03
Threonine synthase,THR4,CAALFM_C502270WA,A0A1D8PNG9,0.16,6.32,0.02
Glutamine--fructose-6-phosphate aminotransferase [isomerizing],GFA1,CaO19.1618,P53704,0.33,13.22,0.02
Hgt7p,HGT7,CAALFM_C201000WA,A0A1D8PG81,0.1,4.02,0.02
Ribosomal 40S subunit protein S14B,RPS14B,CAALFM_C106450CA,A0A1D8PDT3,0.18,8.05,0.02
Ribosomal 60S subunit protein L24A,RPL24A,CAALFM_C404890CA,Q5A6A1,0.16,7.03,0.02
Uncharacterized protein,,CAALFM_C111860WA,A0A1D8PF90,0.16,7.47,0.02
Heat shock protein homolog SSE1,MSI3,CaO19.2435,Q96VB9,0.56,26.77,0.02
Ribosomal protein L19,RPL19A,CAALFM_C304500CA,A0A1D8PK40,0.17,8.62,0.02
40S ribosomal protein S1 (S3aE),RPS1,CaO19.10520,P40910,0.56,29.52,0.02
V-type proton ATPase subunit C,VMA5,CAALFM_C208190WA,Q5A2U9,0.08,4.22,0.02
Glutamate--tRNA ligase,GUS1,CAALFM_C700620WA,A0A1D8PQL8,0.16,8.62,0.02
Chaperonin-containing T-complex subunit,CCT7,CAALFM_C501690CA,Q59YH4,0.17,9.84,0.02
Cytochrome c oxidase subunit 2,COX2,CaalfMp01,Q9B8D8,0.1,5.62,0.02
Eukaryotic translation initiation factor 3 subunit B (eIF3b),PRT1,CaO19.13937,Q5AGV4,0.1,5.62,0.02
Proline--tRNA ligase,,CAALFM_C703660CA,Q59R20,0.41,23.89,0.02
Valine--tRNA ligase,VAS1,CAALFM_C206640CA,A0A1D8PHR0,0.16,9.2,0.02
Proteasome regulatory particle base subunit,RPN2,CAALFM_C112050WA,Q5A3L0,0.25,15.46,0.02
"Malate dehydrogenase, cytoplasmic",MDH1,CaO19.7481,P83778,0.42,26.71,0.02
Thioredoxin reductase,TRR1,CAALFM_C502710WA,Q5AG89,0.17,11.24,0.02
Aspartate--tRNA ligase,DPS1-1,CAALFM_CR03170WA,Q59UF7,0.23,15.46,0.02
Dihydroxyacetone kinase,DAK2,CAALFM_C109190CA,A0A1D8PEI2,0.08,5.17,0.01
Type I HSP40 co-chaperone,YDJ1,CAALFM_CR04200WA,A0A1D8PSQ3,0.08,5.75,0.01
"Serine hydroxymethyltransferase, cytosolic (SHMT)",SHM2,CaO19.13173,O13426,0.25,19.68,0.01
Coatomer subunit beta (Beta-coat protein),SEC26,CAALFM_CR04380CA,Q5A6M6,0.08,6.2,0.01
Threonine--tRNA ligase,THS1,CAALFM_C500110CA,A0A1D8PMV9,0.08,6.32,0.01
Ribosomal 40S subunit protein S11A,,CAALFM_C501540WA,A0A1D8PN83,0.08,6.32,0.01
Glycogen [starch] synthase,GSY1,CAALFM_CR00780CA,Q5A850,0.1,8.43,0.01
Type II HSP40 co-chaperone,SIS1,CAALFM_CR06080WA,Q59V92,0.08,7.03,0.01
T-complex protein 1 subunit gamma,CCT3,CAALFM_C505120WA,Q5AK16,0.1,9.84,0.01
Ribosomal 40S subunit protein S2,RPS21,CAALFM_C101480CA,Q5A900,0.34,35.14,0.01
"Heat shock protein SSC1, mitochondrial (Cytoplasmic antigenic protein 6) (mtHSP70)",SSC1,CaO19.1896,P83784,0.31,46.96,0.01
Pho100p,PHO100,CAALFM_C107430WA,Q59WE5,0.16,24.53,0.01
V-type proton ATPase subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B),VMA2,CaO19.13955,Q59PT0,0.16,26.71,0.01
Ribosomal 60S subunit protein L16A,RPL16A,CAALFM_C100180WA,Q5AB87,0.1,16.87,0.01
Bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,ADE17,CAALFM_CR04090CA,Q5A6R2,0.25,49.19,0.01
Heat shock protein SSA2,SSA2,CaO19.1065,P46587,0,93.6,NA
Ribosomal 60S subunit protein L3,RPL3,CAALFM_C209430WA,Q59LS1,0.16,61.01,NA
Ribosomal 40S subunit protein S5,RPS5,CAALFM_C503070WA,Q5AG43,0.16,44.4,NA
Malate dehydrogenase,MDH1-1,CAALFM_C401900CA,Q5AMP4,0.17,35.71,NA
"Aconitate hydratase, mitochondrial (Aconitase)",ACO1,CaO19.13742,P82611,0,35.46,NA
Ribosomal 60S subunit protein L8B,RPL8B,CAALFM_C305240CA,Q5ANA1,0,34.31,NA
Ribosomal 60S subunit protein L10,RPL10,CAALFM_C102460WA,Q5AIB8,0.16,32.9,NA
ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase),PFK1,CAALFM_C504810WA,Q5AK53,0,29.52,NA
V-type proton ATPase catalytic subunit A (V-ATPase subunit A),TFP1,CaO19.9249,Q5AJB1,0.1,29.26,NA
Lysophospholipase 1 (EC 3.1.1.5) (CaPLB1) (Phospholipase B 1),PLB1,CaO19.689,Q9UWF6,0,28.69,NA
40S ribosomal protein S8,RPS8A,CAALFM_C205610CA,Q59T44,0,26.71,NA
Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS),ARO1,CaO19.12175,Q5AME2,0,26.71,NA
Phosphoribosylformylglycinamidine synthase,ADE6,CAALFM_CR04740CA,Q59MZ5,0,26.71,NA
Pyruvate dehydrogenase E1 component subunit alpha,PDA1,CAALFM_C407110CA,Q5A0Z9,0,23.89,NA
Alanine--tRNA ligase,ALA1,CaO19.13169,Q5A8K2,0,22.23,NA
Ribosomal 60S subunit protein L4B,RPL4B,CAALFM_C114110CA,A0A1D8PFV1,0,21.84,NA
Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase,URA2,CAALFM_CR07050CA,A0A1D8PTD1,0,21.26,NA
Trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase,MIS11,CAALFM_CR07010WA,Q59SM8,0,21.08,NA
Pyruvate dehydrogenase E1 component subunit beta,PDB1,CAALFM_C404150CA,Q5A5V6,0,20.25,NA
Lipid-binding protein,LSP1,CAALFM_C206730WA,Q59KV8,0.08,19.68,NA
Cystathionine beta-synthase,CYS4,CAALFM_C101870CA,Q59T95,0,18.27,NA
Eukaryotic translation initiation factor 3 subunit C (eIF3c) ,NIP1,CaO19.12105,Q5AML1,0,18.27,NA
Homoisocitrate dehydrogenase,LYS12,CAALFM_CR01400WA,Q5A9D9,0,17.7,NA
Ribosomal protein L15,RPL15A,CAALFM_CR04100CA,Q5A6R1,0,17.44,NA
Lysine--tRNA ligase,KRS1,CAALFM_C307410CA,Q5ADU2,0,15.46,NA
Chaperonin-containing T-complex subunit,CCT5,CAALFM_C207310WA,Q59Z12,0,14.63,NA
Leucine--tRNA ligase,CDC60,CAALFM_CR01690CA,A0A1D8PS12,0,14.37,NA
Uncharacterized protein,,CAALFM_C204370WA,Q59TB4,0,14.06,NA
GMP synthase [glutamine-hydrolyzing],GUA1,CaO19.12276,Q5APF2,0,14.06,NA
Elongation factor Tu,TUF1,CAALFM_C100590WA,Q5ABC3,0,13.48,NA
Chaperonin-containing T-complex alpha subunit,TCP1,CAALFM_C108560WA,Q59QB7,0,13.22,NA
"Polyadenylate-binding protein, cytoplasmic and nuclear (PABP)",PAB1,CaO19.10555,Q5AI15,0,13.22,NA
"Serine--tRNA ligase, cytoplasmic",SES1,CaO19.7901,Q9HGT6,0,13.22,NA
Glycine--tRNA ligase,GRS1,CAALFM_C105290WA,Q5A2A5,0,12.65,NA
Ribonucleoside-diphosphate reductase,RNR1,CAALFM_C203160CA,Q5A0N3,0,12.65,NA
ATP-binding cassette family ATPase,KRE30,CAALFM_C208000CA,Q5A2T2,0,12.65,NA
Clustered mitochondria protein homolog (Protein TIF31 homolog),CLU1,CaO19.51,Q59MA9,0,12.65,NA
Fe-S cluster-binding ribosome biosynthesis protein,RLI1,CAALFM_C103350CA,Q5AI20,0,11.82,NA
AAA family ATPase,CDC48,CAALFM_C110790WA,Q59WG3,0,11.82,NA
Ribosomal 60S subunit protein L2A,RPL2,CAALFM_C111060CA,A0A1D8PF08,0,11.49,NA
Flavohemoprotein,YHB1,CaO19.11192,Q59MV9,0,11.24,NA
Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH),IMH3,CaO19.18,Q59Q46,0,11.24,NA
"Cytochrome c peroxidase, mitochondrial (CCP)",CCP1,CaO19.238,Q5AEN1,0,11.24,NA
Trehalose-phosphatase,TPS2,CAALFM_C103380WA,Q5AI14,0,10.99,NA
Ssz1p,SSZ1,CAALFM_C404700WA,Q5A678,0,10.41,NA
Tom40p,TOM40,CAALFM_C701970CA,Q5AH14,0,10.41,NA
Alpha-ketoglutarate dehydrogenase,KGD1,CAALFM_C300880WA,A0A1D8PJ26,0,10.35,NA
Chaperonin-containing T-complex subunit,CCT8,CAALFM_C100110WA,Q5AB74,0,9.84,NA
Tyrosine--tRNA ligase,TYS1,CAALFM_C402980WA,Q5AFB3,0,9.84,NA
Histidine--tRNA ligase,HTS1,CAALFM_C505490CA,Q5AJX0,0,9.84,NA
Small COPII coat GTPase,SAR1,CaO19.10966,Q59S78,0,9.84,NA
ATP-dependent RNA helicase,DED1,CaO19.7392,Q5A4E2,0,9.84,NA
Lanosterol 14-alpha demethylase,ERG11,CaO19.922,P10613,0,9.84,NA
40S ribosomal protein S6,RPS6A,CAALFM_C401270WA,A0A1D8PL99,0,9.77,NA
Protein channel,TOM70,CAALFM_C702640WA,Q59LZ5,0,9.01,NA
Protein-arginine omega-N methyltransferase,HMT1,CAALFM_C101030WA,Q5A943,0,8.43,NA
Translation initiation factor eIF5B,FUN12,CAALFM_C108090CA,Q5A782,0,8.43,NA
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDH51,CAALFM_C204550CA,Q59TD5,0,8.43,NA
Phosphoserine aminotransferase,SER1,CAALFM_C206210CA,Q59P52,0,8.43,NA
Proteasome regulatory particle lid subunit,,CAALFM_C208930WA,Q59SD0,0,8.43,NA
Translation termination factor GTPase eRF3,SUP35,CAALFM_C209720WA,Q59YE8,0,8.43,NA
40S ribosomal protein S24,RPS24,CAALFM_C300090WA,Q5A7K0,0,8.43,NA
Zuotin,ZUO1,CAALFM_C402870CA,Q5AF98,0,8.43,NA
Obg-like ATPase 1,YBN5,CAALFM_C104890WA,A0A1D8PDE8,0,8.05,NA
Translation initiation factor eIF2 subunit alpha,SUI2,CAALFM_C106960WA,Q5AAU7,0,7.86,NA
Eukaryotic translation initiation factor 3 subunit A (eIF3a),RPG1A,CaO19.13701,Q59PL9,0,7.6,NA
Bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase,FOX2,CAALFM_C300810CA,A0A1D8PJ13,0,7.47,NA
Ribosomal 40S subunit protein S13,RPS13,CAALFM_C600650CA,A0A1D8PPE0,0,7.47,NA
40S ribosomal protein S26,RPS26A,CAALFM_C201610CA,Q5ALV6,0,7.03,NA
Ribosomal 60S subunit protein L17B,RPL17B,CAALFM_C204600CA,Q59TE0,0,7.03,NA
Translation termination factor eRF1,ERF1,CAALFM_C205100CA,Q59ZH8,0,7.03,NA
CTP synthase,URA7,CAALFM_C504570CA,Q5AK79,0,7.03,NA
C-22 sterol desaturase,ERG5,CAALFM_C702840CA,G1UB11,0,7.03,NA
Nucleolar protein 58,NOP58,CaO19.1199,Q59S06,0,7.03,NA
Sterol 24-C-methyltransferase,ERG6,CaO19.1631,O74198,0,7.03,NA
ATP-dependent RNA helicase,DBP5,CaO19.1661,Q5AJD0,0,7.03,NA
Ribosomal 60S subunit protein L26B,,CAALFM_C102330CA,A0A1D8PCQ5,0,6.9,NA
Glutamate synthase (NADH),GLT1,CAALFM_C106550WA,A0A1D8PDU9,0,6.9,NA
Ribosomal 40S subunit protein S15,RPS15,CAALFM_C304670CA,A0A1D8PK22,0,6.9,NA
60S ribosomal protein L20,RPL20B,CAALFM_C401520CA,A0A1D8PLC9,0,6.9,NA
rRNA methyltransferase,NOP1,CAALFM_C406720WA,Q5A0V9,0,6.45,NA
Lipid-binding protein,PIL1,CAALFM_C104680WA,A0A1D8PDD1,0,6.32,NA
Ubiquinol--cytochrome-c reductase catalytic subunit,CYT1,CAALFM_C204950CA,A0A1D8PHA3,0,6.32,NA
Adh5p,ADH5,CAALFM_CR02070CA,A0A1D8PS45,0,6.32,NA
Chaperonin-containing T-complex subunit,CCT2,CAALFM_C209520CA,Q59YC4,0,6.2,NA
Uncharacterized protein,,CAALFM_C400860CA,Q5AME0,0,6.2,NA
Serine/threonine-protein phosphatase,GLC7,CAALFM_CR07650WA,Q59N42,0,6.2,NA
Ribosomal 40S subunit protein S17B,RPS17B,CAALFM_C110870WA,A0A1D8PEY9,0,5.75,NA
Coatomer subunit alpha,,CAALFM_C301720CA,A0A1D8PJB0,0,5.75,NA
Uncharacterized protein,,CAALFM_C602560WA,A0A1D8PPX6,0,5.75,NA
snoRNP complex protein,SIK1,CAALFM_CR09950CA,A0A1D8PU46,0,5.75,NA
Proteasome regulatory particle base subunit,RPT1,CAALFM_C105240CA,Q5A2A0,0,5.62,NA
Malate dehydrogenase,MDH1-3,CAALFM_C210480WA,Q5A5S6,0,5.62,NA
Signal recognition particle subunit SRP68 ,,CAALFM_C306970WA,Q5ADN7,0,5.62,NA
Fesur1p,FESUR1,CAALFM_C307060WA,Q5ADP7,0,5.62,NA
Sterol-4-alpha-carboxylate 3-dehydrogenase (Decarboxylating),ERG26,CAALFM_C406270CA,Q5A1B0,0,5.62,NA
Uracil phosphoribosyltransferase,FUR1,CAALFM_C503390CA,Q59QT3,0,5.62,NA
Cytochrome b-c1 complex subunit 7,QCR7,CAALFM_C603400CA,Q5ABS1,0,5.62,NA
Nuc2p,NUC2,CAALFM_C701900WA,Q5AH07,0,5.62,NA
NADH-cytochrome b5 reductase 1,CBR1,CaO19.1801,Q59P03,0,5.62,NA
Small heat shock protein 21,HSP21,CaO19.822,Q5AHH4,0,5.62,NA
"Heat shock protein 78, mitochondrial",HSP78,CaO19.8501,Q96UX5,0,5.62,NA
60S ribosomal protein L27,RPL27A,CAALFM_C112390CA,A0A1D8PFG4,0,5.17,NA
Sulfite reductase (NADPH) subunit beta,ECM17,CAALFM_C206170CA,A0A1D8PHL8,0,5.17,NA
Ribosomal 60S subunit protein L23B,RPL23A,CAALFM_C602070CA,A0A1D8PPT5,0,5.17,NA
Agglutinin-like protein 2 (Adhesin 2),ALS2,CaO19.1097,P0CU38,0,5.17,NA
Ribosomal 60S subunit protein L28,RPL28,CAALFM_CR03030CA,A0A1D8PSC5,0,5.17,NA
Ife2p,IFE2,CAALFM_CR05340CA,A0A1D8PSZ0,0,5.17,NA
Uncharacterized protein,,CAALFM_CR10140WA,A0A1D8PU51,0,5.17,NA
Uncharacterized protein,,CAALFM_C111120CA,Q59WJ7,0,4.79,NA
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDH2,CAALFM_CR05180CA,Q59QN7,0,4.79,NA
Uncharacterized protein,,CAALFM_C702100WA,A0A1D8PR11,0,4.6,NA
Fumarate reductase,OSM2,CAALFM_C113670WA,Q5AKX2,0,4.22,NA
Bfr1p,BFR1,CAALFM_C402270CA,Q5AMT7,0,4.22,NA
"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOD) (DHODase)",URA9,CaO19.12299,Q874I4,0,4.22,NA
Sulfate adenylyltransferase,MET3,CaO19.12492,Q9Y872,0,4.22,NA
13 kDa ribonucleoprotein-associated protein,SNU13,CaO19.13306,Q5ANL6,0,4.22,NA
Purine nucleoside permease,NUP,CaO19.13923,Q5AGW8,0,4.22,NA
Squalene monooxygenase,ERG1,CaO19.406,Q92206,0,4.22,NA
Eukaryotic translation initiation factor 3 subunit G (eIF3g),TIF35,CaO19.7236,Q59ZV5,0,4.22,NA
Vacuolar protein 8,VAC8,CaO19.745,Q59MN0,0,4.22,NA
Homoserine kinase (HK) (HSK),THR1,CaO19.923,Q92209,0,4.22,NA
Glycogenin glucosyltransferase,,CAALFM_C101360CA,A0A1D8PCG4,0,4.02,NA
Uncharacterized protein,,CAALFM_C301610WA,A0A1D8PJA6,0,4.02,NA
Tryptophan synthase,TRP5,CAALFM_C406110CA,A0A1D8PMH6,0,4.02,NA
Phenylalanine--tRNA ligase subunit alpha,FRS2,CAALFM_C102710WA,A0A1D8PCT4,0,3.45,NA
Rnr22p,RNR22,CAALFM_C207570WA,A0A1D8PI17,0,3.45,NA
"Cytochrome b-c1 complex subunit Rieske, mitochondrial",RIP1,CAALFM_C304430WA,A0A1D8PJX3,0,3.45,NA
Ribosomal 60S subunit protein L35A,RPL35,CAALFM_C304960WA,A0A1D8PK30,0,3.45,NA
