orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.4374	C4_05370W_A	PUF3	RNA-binding protein involved in regulation of mitochondrial biogenesis	aerobic respiration||intracellular mRNA localization||mitochondrion localization||mitochondrion organization||nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay||positive regulation of translation||regulation of mitochondrial mRNA stability||regulation of ubiquinone biosynthetic process	cytoplasmic side of mitochondrial outer membrane	mRNA binding
orf6.4375	C4_05390W_A		Putative glyoxylate reductase; acts on glyoxylate and hydroxypyruvate substrates; Spider biofilm repressed	oxidation-reduction process	cellular_component	NAD binding||oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
orf6.4376	C4_05400C_A		D-arabinose 5-phosphate isomerase; has GutQ domain which is associated with phosphosugar binding; other biofilm induced; rat catheter and Spider biofilm induced; F-12/CO2 early biofilm induced	biological_process	cellular_component	molecular_function
orf6.4377	C4_05420C_A	TSC2	Putative GTPase-activating protein; similar to mammalian tuberin; involved in control of filamentous growth; mutants are viable	cellular response to chemical stimulus||cellular response to drug||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to chemical stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cellular_component	GTPase activator activity
orf6.4378	C4_05430C_A	GAP5	General amino acid permease; fungal-specific (no human or murine homolog)	amino acid transmembrane transport	integral component of membrane||membrane	amino acid transmembrane transporter activity
orf6.4379	C4_06620C_A		Protein of unknown function; rat catheter and Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.438	C1_08710W_A		Ortholog of <i>S. cerevisiae</i> : YNL050C, <i>C. glabrata CBS138</i> : CAGL0G01276g, <i>C. dubliniensis CD36</i> : Cd36_08220, <i>C. parapsilosis CDC317</i> : CPAR2_804440 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_94168	biological_process	cellular_component	molecular_function
orf6.4380	C4_06610C_A	SDH12	Succinate dehydrogenase; soluble protein in hyphae; macrophage-downregulated protein level; downregulated by Efg1p; repressed by nitric oxide; protein present in exponential and stationary growth phase yeast cultures; Hap43p-repressed gene	electron transport chain||oxidation-reduction process||tricarboxylic acid cycle	cellular_component	flavin adenine dinucleotide binding||oxidoreductase activity||oxidoreductase activity, acting on the CH-CH group of donors
orf6.4382	C4_06600W_A	TOP2	DNA topoisomerase II; catalyzes ATP-dependent DNA relaxation and decatenation in vitro; Y842 predicted to be catalytic; functional homolog of S. cerevisiae Top2p; sensitive to amsacrine or doxorubicin; farnesol-upregulated in biofilm	DNA strand elongation involved in DNA replication||DNA topological change||cellular response to neutral pH||cellular response to starvation||chromatin assembly or disassembly||chromatin remodeling at centromere||filamentous growth||filamentous growth of a population of unicellular organisms in response to neutral pH||filamentous growth of a population of unicellular organisms in response to starvation||mitotic DNA integrity checkpoint||mitotic chromosome condensation||mitotic sister chromatid separation||regulation of mitotic recombination||replication fork progression beyond termination site||resolution of meiotic recombination intermediates	chromosome, centromeric core domain||nuclear chromatin||synaptonemal complex||transcriptionally active chromatin	ATP binding||DNA binding||DNA topoisomerase type II (ATP-hydrolyzing) activity
orf6.4384	C4_06590W_A		Ortholog of S. pombe SPAC1071.09c DNAJ domain protein; Hap43-induced gene	biological_process	cellular_component	molecular_function
orf6.4385	C4_06580W_A	CBF1	Transcription factor; binds ribosomal protein gene promoters and rDNA locus with Tbf1; regulates sulfur starvation-response, respiratory, glycolytic genes; does not bind to centromeres as does S. cerevisiae Cbf1; Spider biofilm repressed	centromere complex assembly||chromatin remodeling||chromosome segregation||methionine biosynthetic process||mitotic sister chromatid segregation||negative regulation of ceramide biosynthetic process by negative regulation of transcription from RNA Polymerase II promoter||positive regulation of inositol biosynthetic process by positive regulation of transcription from RNA polymerase II promoter||positive regulation of sulfate assimilation by positive regulation of transcription from RNA polymerase II promoter||protein localization to chromosome, centromeric region||rRNA transcription||regulation of transcription from RNA polymerase II promoter in response to methionine||sulfate assimilation	Cbf1-Met4-Met28 complex||kinetochore||nuclear chromatin	DNA-binding transcription activator activity, RNA polymerase II-specific||DNA-binding transcription factor activity||DNA-binding transcription repressor activity, RNA polymerase II-specific||RNA polymerase II activating transcription factor binding||RNA polymerase II proximal promoter sequence-specific DNA binding||RNA polymerase II repressing transcription factor binding||centromeric DNA binding||protein dimerization activity||sequence-specific DNA binding
orf6.4386	C4_06570C_A	PDC11	Pyruvate decarboxylase; antigenic; on hyphal not yeast cell surface; Hap43, Gcn4, Efg1, Efh1, Hsf1 regulated; fluconazole, farnesol induced; amino acid starvation repressed; flow model biofilm induced; Spider biofilm repressed	L-phenylalanine catabolic process||aromatic amino acid family catabolic process to alcohol via Ehrlich pathway||glycolytic fermentation to ethanol||tryptophan catabolic process	cell surface||cytosol||fungal biofilm matrix||hyphal cell wall||nucleus||plasma membrane||yeast-form cell wall	branched-chain-2-oxoacid decarboxylase activity||magnesium ion binding||pyruvate decarboxylase activity||thiamine pyrophosphate binding
orf6.4387	C4_06560W_A	PGA15	Putative GPI-anchored protein	biological_process	cell surface	molecular_function
orf6.4388	C4_06550C_A	IFF5	Putative GPI-anchored protein; adhesin-like protein; possibly an essential gene, disruptants not obtained by UAU1 method	biological_process	cell surface||fungal-type cell wall	molecular_function
orf6.439	C1_08700W_A		Ortholog(s) have role in histone deacetylation and Set3 complex localization	histone deacetylation	Set3 complex	molecular_function
orf6.4390	C4_06540W_A	MNN4	Regulator of mannosylphosphorylation of N-linked mannans to cell wall proteins; no role in virulence or normal interaction with macrophages; mutant induces inflammatory cytokines in dendritic cells; rat catheter and Spider biofilm induced	cell wall mannoprotein biosynthetic process||pathogenesis	cellular_component	molecular_function
orf6.4391	C5_01670W_A	DAL52	Putative allantoate permease; mutant is viable; similar but not orthologous to S. cerevisiae Dal5	anion transport||transmembrane transport	integral component of membrane||membrane	anion:cation symporter activity
orf6.4392	C5_01680C_A	CCN1	G1 cyclin; required for hyphal growth maintenance (not initiation); cell-cycle regulated transcription (G1/S); Cdc28p-Ccn1p initiates Cdc11p S394 phosphorylation on hyphal induction; expression in S. cerevisiae inhibits pheromone response	G1/S transition of mitotic cell cycle||cellular response to biotic stimulus||cellular response to drug||cellular response to neutral pH||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to neutral pH||hyphal growth||maintenance of cell polarity||positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus||positive regulation of filamentous growth of a population of unicellular organisms in response to neutral pH||regulation of cell cycle||regulation of cyclin-dependent protein serine/threonine kinase activity	nucleus	cyclin-dependent protein serine/threonine kinase regulator activity
orf6.4393	C5_01690C_A	CCT7	Cytosolic chaperonin Cct ring complex; protein is present in exponential and stationary growth phase yeast cultures; sumoylation target	cellular protein metabolic process||protein folding	chaperonin-containing T-complex	ATP binding||unfolded protein binding
orf6.4394	C5_01700W_A		Mitochondrial ribosomal protein of the large subunit; rat catheter biofilm induced	mitochondrial translation	mitochondrial large ribosomal subunit	structural constituent of ribosome
orf6.4395	C5_01710C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_51610, <i>C. parapsilosis CDC317</i> : CPAR2_303630, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_135125 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E19030g	biological_process	cellular_component	molecular_function
orf6.4396	C5_01720C_A	RCY1	Putative F-box protein involved in endocytic membrane traffic and/or recycling; fungal-specific (no human or murine homolog)	early endosome to Golgi transport||endocytic recycling||endocytosis||exocytosis||septum digestion after cytokinesis||vesicle docking	Golgi apparatus||cell division site||cell tip||endosome||nucleus||site of polarized growth	SNARE binding
orf6.4397	C5_01730W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_51590, <i>C. parapsilosis CDC317</i> : CPAR2_303610, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_135127 and <i>Debaryomyces hansenii CBS767</i> : DEHA2E19074g	biological_process	cellular_component	molecular_function
orf6.44	C1_13270W_A		Putative ATPase; predicted role in ER-associated protein catabolism; induced during chlamydospore formation in both C. albicans and C. dubliniensis; rat catheter biofilm repressed	NAD biosynthesis via nicotinamide riboside salvage pathway||invasive growth in response to glucose limitation||pseudohyphal growth||ubiquitin-dependent ERAD pathway	cytoplasm||nucleus	ATPase activity||nicotinamide-nucleotide adenylyltransferase activity
orf6.440	C1_09990W_A	SAC1	Putative phosphatidylinositol phosphate (PtdInsP) phosphatase, involved in cell wall integrity and morphogenesis	fungal-type cell wall biogenesis||hyphal growth||pathogenesis||phosphatidylinositol dephosphorylation	Golgi medial cisterna||SPOTS complex||cell cortex||integral component of Golgi membrane||integral component of endoplasmic reticulum membrane	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity||phosphatidylinositol-3-phosphatase activity||phosphatidylinositol-4-phosphate phosphatase activity
orf6.4405	C5_01800C_A	HIP1	Amino acid permeases; alkaline, flucytosine induced; regulated by Plc1, Gcn2 and Gcn4; fungal-specific; Spider biofilm induced	amino acid transmembrane transport	integral component of membrane||membrane	amino acid transmembrane transporter activity
orf6.4407	C5_05410C_A	ILV3	Dihydroxyacid dehydratase; repressed by nitric oxide; macrophage-induced protein; protein in exponential and stationary growth phase; Sef1, Sfu1p, Hap43-regulated; farnesol-repressed; flow model biofilm induced; Spider biofilm repressed	branched-chain amino acid biosynthetic process	mitochondrion	dihydroxy-acid dehydratase activity
orf6.4408	C5_05430W_A	PEX4	Putative peroxisomal ubiquitin conjugating enzyme; regulated by Sef1, Sfu1, and Hap43; rat catheter biofilm induced; Spider biofilm induced	protein autoubiquitination||protein import into peroxisome matrix, receptor recycling||protein monoubiquitination	peroxisome	acid-amino acid ligase activity||ubiquitin-protein transferase activity
orf6.4409	C5_05440C_A		Protein with a predicted pleckstrin homology domain; induced by alpha pheromone in SpiderM medium	biological_process	cellular_component	phospholipid binding
orf6.441	C1_09980C_A		Ortholog(s) have acylglycerol lipase activity, role in triglyceride metabolic process and lipid droplet, membrane localization	triglyceride metabolic process	lipid droplet||membrane	acylglycerol lipase activity
orf6.4410	C5_05450C_A	MUM2	Protein similar to S. cerevisiae Mum2, a protein essential for meiotic DNA replication and sporulation; induced by alpha pheromone in SpiderM medium; transcript regulated by Tup1	mRNA methylation||negative regulation of pseudohyphal growth||premeiotic DNA replication	RNA N6-methyladenosine methyltransferase complex	molecular_function
orf6.4411	C5_05470W_A	EST1	Telomerase subunit; allosteric activator of catalytic activity, but not required for catalytic activity; has TPR domain	DNA recombination||negative regulation of translation||nuclear-transcribed mRNA catabolic process, nonsense-mediated decay||telomere capping||telomere maintenance via telomerase	P-body||telomerase holoenzyme complex	enzyme activator activity
orf6.4412	C5_05460C_A		Putative transcription factor containing a Zn(2)-Cys(6) binuclear cluster	biological_process	cellular_component	molecular_function
orf6.4414	C5_05480W_A	DES1	Putative delta-4 sphingolipid desaturase; planktonic growth-induced gene	cellular response to glucose starvation||fatty acid biosynthetic process||hyphal growth||oxidation-reduction process||response to heat||sphingolipid metabolic process||sphingosine biosynthetic process	integral component of membrane	sphingolipid delta-4 desaturase activity
orf6.4417	C5_05490C_A	HTS1	Putative tRNA-His synthetase; downregulated upon phagocytosis by murine macrophage; stationary phase enriched protein; Spider biofilm repressed	histidyl-tRNA aminoacylation||mitochondrial translation	mitochondrion	ATP binding||aminoacyl-tRNA ligase activity||histidine-tRNA ligase activity
orf6.4419	orf19.3385		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.442	C1_09970C_A	PDC2	Homeodomain-like transcription factor; regulator of pyruvate decarboxylase; contains a putative C-terminal activation domain, Glu- and Pro-rich; complements glucose utilization defect of S. cerevisiae pdc2 mutant	positive regulation of glycolytic fermentation to ethanol||positive regulation of thiamine biosynthetic process||positive regulation of transcription by RNA polymerase II	cellular_component	RNA polymerase II proximal promoter sequence-specific DNA binding
orf6.4420	C5_05500C_A	CTA24	Putative transcription factor; positive regulator of gene expression; Efg1-repressed; member of a family of telomere-proximal genes; transcript upregulated in RHE model of oral candidiasis	positive regulation of transcription, DNA-templated	nuclear chromatin	molecular_function
orf6.4421	C5_05510C_A		Protein similar to S. cerevisiae Ybr075wp; transposon mutation affects filamentous growth; clade-associated gene expression	cellular response to biotic stimulus||cellular response to starvation||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	cellular_component	molecular_function
orf6.4422	C6_03010W_A	TEL1	Ortholog(s) have protein serine/threonine kinase activity, telomeric DNA binding activity	DNA damage induced protein phosphorylation||double-strand break repair||histone H2A SQE motif phosphorylation||positive regulation of DNA repair||positive regulation of initiation of premeiotic DNA replication||positive regulation of mitotic DNA damage checkpoint||telomere maintenance	cellular_component	protein serine/threonine kinase activity||telomeric DNA binding
orf6.4426	C6_03520C_A		Has domain(s) with predicted zinc ion binding activity and role in intracellular protein transport, vesicle-mediated transport	intracellular protein transport||vesicle-mediated transport	cellular_component	zinc ion binding
orf6.4427	C6_03030W_A	SAP5	Biofilm-specific aspartyl protease; virulence role effected by URA3; expressed during infection; mRNA localized to hyphal tip via She3; rat catheter and Spider biofilm induced	adhesion of symbiont to host||cellular nitrogen compound catabolic process||nitrogen compound metabolic process||pathogenesis||protein catabolic process||proteolysis||single-species biofilm formation	extracellular region||fungal biofilm matrix||intracellular	aspartic-type endopeptidase activity
orf6.4428	C6_03040C_A		Ortholog(s) have phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity, role in phosphatidylinositol dephosphorylation and PAS complex, fungal-type vacuole membrane, nuclear periphery localization	phosphatidylinositol dephosphorylation	PAS complex||fungal-type vacuole membrane||nuclear periphery	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity
orf6.4429	C6_03050C_A		Protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process||cellular response to methylmercury	SCF ubiquitin ligase complex	molecular_function
orf6.443	orf19.632		Predicted ORF from Assembly 19; merged with orf19.1808 in Assembly 20			
orf6.4430	C6_03060W_A	PGA60	Putative GPI-anchored adhesin-like protein; hyphal-induced expression	biological_process	cell surface	molecular_function
orf6.4431	C6_03070C_A		Protein of unknown function; transcript detected on high-resolution tiling arrays	biological_process	cellular_component	molecular_function
orf6.4433	C6_03080C_A	ADO1	Adenosine kinase; heterozygous null mutant is resistant to cordycepin in C. albicans fitness test; ketoconazole-induced; protein level decrease in stationary phase cultures; sumoylation target; Spider biofilm repressed	cellular response to drug||purine nucleobase metabolic process||purine ribonucleoside salvage	fungal biofilm matrix	adenosine kinase activity
orf6.4434	C6_03090W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_63980, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115187, <i>Candida tropicalis MYA-3404</i> : CTRG_02719 and <i>Candida albicans WO-1</i> : CAWG_05060	biological_process	cellular_component	molecular_function
orf6.4435	orf19.5593		Predicted ORF from Assembly 19; merged with orf19.5592 in Assembly 20			
orf6.4437	C6_03100W_A	SHE3	mRNA-binding protein that localizes specific mRNAs to daughter yeast cells and to hyphal tips; required for normal filamentation and host epithelial cell damage; ortholog of S. cerevisiae She3 but target mRNAs differs	cellular response to biotic stimulus||cellular response to starvation||cytolysis by symbiont of host cells||endoplasmic reticulum inheritance||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation||intracellular mRNA localization||mating type switching	cellular bud tip	mRNA binding||sequence-specific mRNA binding
orf6.4438	C6_03110C_A		Ortholog of <i>S. cerevisiae</i> : ASA1, <i>C. glabrata CBS138</i> : CAGL0K07920g, <i>C. dubliniensis CD36</i> : Cd36_63960, <i>C. parapsilosis CDC317</i> : CPAR2_600230 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_136384	biological_process	cellular_component	molecular_function
orf6.4439	C6_03120W_A	POL5	Putative DNA Polymerase phi; F-12/CO2 early biofilm induced	nucleolar large rRNA transcription by RNA polymerase I||regulation of transcription, DNA-templated	nucleolus	DNA-directed DNA polymerase activity||rDNA binding||transcription factor binding
orf6.444	CR_04960C_A	CRG1	Methyltransferase involved in sphingolipid homeostasis, methylates a drug cantharidin; decreased expression in hyphae compared to yeast; expression regulated during planktonic growth; flow model biofilm induced; Hap43-repressed gene	cellular sphingolipid homeostasis||pathogenesis	cellular_component	S-adenosylmethionine-dependent methyltransferase activity
orf6.4440	C3_03060W_A		Ortholog(s) have Rab guanyl-nucleotide exchange factor activity, role in ER to Golgi vesicle-mediated transport and TRAPPI protein complex, TRAPPII protein complex, TRAPPIII protein complex localization	endoplasmic reticulum to Golgi vesicle-mediated transport	TRAPPI protein complex||TRAPPII protein complex||TRAPPIII protein complex||cis-Golgi network	Rab guanyl-nucleotide exchange factor activity
orf6.4442	C3_03070W_A		Putative transporter similar to MDR proteins; fungal-specific; Spider biofilm induced	drug transport||transmembrane transport	integral component of membrane||membrane	drug transmembrane transporter activity
orf6.4443	C3_03080W_A		Protein of unknown function; upregulated in a cyr1 null mutant	biological_process	cellular_component	molecular_function
orf6.4444	C3_03090W_A	USO5	Kinesin-associated protein; forms heterodimer with Kar3; involved in spindle formation; transcription is induced upon filamentous growth and in response to alpha pheromone in SpiderM medium	invasive filamentous growth||karyogamy involved in conjugation with cellular fusion||regulation of mitotic spindle organization	spindle pole body	protein heterodimerization activity
orf6.4445	C3_03100C_A		Ortholog(s) have transcription coactivator activity, role in histone acetylation, transcription by RNA polymerase II and Ada2/Gcn5/Ada3 transcription activator complex, SAGA complex, SLIK (SAGA-like) complex localization	histone acetylation||transcription by RNA polymerase II	Ada2/Gcn5/Ada3 transcription activator complex||SAGA complex||SLIK (SAGA-like) complex	transcription coactivator activity
orf6.4446	C3_03110W_A		Ortholog(s) have role in nucleobase-containing compound transport, regulation of fungal-type cell wall organization, regulation of phospholipid translocation and plasma membrane localization	nucleobase-containing compound transport||regulation of fungal-type cell wall organization||regulation of phospholipid translocation	plasma membrane	molecular_function
orf6.4447	C3_03120C_A	DAL5	Allantoate permease; nitrogen catabolite repressed, induced in absence of preferred N sources; nitrogen source regulation requires Gat1; possibly essential gene (by UAU1 method); Hap43-repressed	allantoate transport||anion transport||dipeptide transport||transmembrane transport||tripeptide transport	integral component of membrane||membrane||plasma membrane	allantoate transmembrane transporter activity||anion:cation symporter activity||dipeptide transmembrane transporter activity
orf6.4448	C3_03130C_A		Putative mitochondrial protein with a predicted role in cell wall biogenesis; possibly an essential gene, disruptants not obtained by UAU1 method	biological_process	cellular_component	molecular_function
orf6.4449	orf19.311		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.445	CR_04970C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_30370, <i>Candida tropicalis MYA-3404</i> : CTRG_00536 and <i>Candida albicans WO-1</i> : CAWG_01831	biological_process	cellular_component	molecular_function
orf6.4450	orf19.312		Predicted ORF from Assembly 19; merged with orf19.310 in Assembly 20			
orf6.4451	C3_03140C_A	DAL4	Putative allantoin permease; fungal-specific (no human or murine homolog)	allantoin assimilation pathway||allantoin transport||uracil import across plasma membrane	Golgi membrane||endoplasmic reticulum||fungal-type vacuole||plasma membrane	allantoin:proton symporter activity||uracil transmembrane transporter activity
orf6.4452	C6_02430W_A		Ortholog(s) have role in chromatin silencing at telomere, negative regulation of transcription from RNA polymerase II promoter by pheromones	chromatin silencing at telomere||negative regulation of transcription from RNA polymerase II promoter by pheromones	cellular_component	molecular_function
orf6.4454	orf19.5512		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.4455	C6_02440C_A	PRP45	Protein required for pre-mRNA splicing; Spider biofilm induced	generation of catalytic spliceosome for second transesterification step	U2-type catalytic step 1 spliceosome||U2-type catalytic step 2 spliceosome||post-mRNA release spliceosomal complex	molecular_function
orf6.4456	C6_02450W_A		Ortholog of S. pombe SPCC550.08, an N-acetyltransferase; transcript induced during growth in the mouse cecum	biological_process	cellular_component	molecular_function
orf6.4457	C6_02460C_A		Ortholog(s) have mRNA binding, ribosome binding activity and role in mitochondrial respiratory chain complex III assembly, positive regulation of mitochondrial translation	mitochondrial respiratory chain complex III assembly||positive regulation of mitochondrial translation	Cbp3p-Cbp6 complex||fungal-type vacuole membrane||integral component of mitochondrial membrane||mitochondrial ribosome	mRNA binding||ribosome binding
orf6.4458	C6_02470W_A		Ortholog(s) have role in SRP-dependent cotranslational protein targeting to membrane, translocation and signal recognition particle, endoplasmic reticulum targeting localization	SRP-dependent cotranslational protein targeting to membrane, translocation	signal recognition particle, endoplasmic reticulum targeting	7S RNA binding
orf6.4459	C6_02480W_A		Similar to alcohol dehydrogenases; induced by benomyl treatment, nitric oxide; induced in core stress response; oxidative stress-induced via Cap1; Spider biofilm repressed	alcohol metabolic process||oxidation-reduction process	cellular_component	alcohol dehydrogenase (NADP+) activity||transferase activity, transferring acyl groups other than amino-acyl groups||zinc ion binding
orf6.446	C5_03140C_A		Ortholog(s) have protein membrane anchor activity and role in COPII vesicle coating, macroautophagy, protein localization to endoplasmic reticulum exit site	COPII vesicle coating||macroautophagy||protein localization to endoplasmic reticulum exit site	ER to Golgi transport vesicle membrane||endoplasmic reticulum exit site	protein membrane anchor
orf6.4460	C6_02490C_A		Protein of unknown function; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.4461	C6_02500C_A	GCV1	Putative T subunit of glycine decarboxylase; transcript negatively regulated by Sfu1; Spider biofilm repressed	glycine catabolic process||glycine metabolic process||one-carbon metabolic process	mitochondrion	aminomethyltransferase activity||glycine dehydrogenase (decarboxylating) activity||glycine dehydrogenase (decarboxylating) activity
orf6.4462	C6_02510C_A	ASG7	a-cell specific protein of unknown function; two predicted transmembrane domains; member of conserved Mcm1 regulon; induced by alpha pheromone in SpiderM medium	biological_process	cellular_component	molecular_function
orf6.4463	C6_02520W_A	ISA1	Putative mitochondrial iron-sulfur protein; alkaline repressed; induced in high iron; regulated by Sef1, Sfu1, Hap43; Spider biofilm induced	biotin biosynthetic process||iron-sulfur cluster assembly||protein maturation by [4Fe-4S] cluster transfer	mitochondrial matrix	2 iron, 2 sulfur cluster binding||iron ion binding||iron-sulfur transferase activity||structural molecule activity
orf6.4464	C6_02530C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_62760, <i>C. parapsilosis CDC317</i> : CPAR2_601700, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_115220 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A06666g	biological_process	cellular_component	molecular_function
orf6.4465	C6_02540C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_62780, <i>C. parapsilosis CDC317</i> : CPAR2_601690, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113271 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A06644g	biological_process	cellular_component	molecular_function
orf6.4466	C6_02550W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_62790, <i>C. parapsilosis CDC317</i> : CPAR2_601680, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00252 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A06622g	biological_process	cellular_component	molecular_function
orf6.4467	C6_02560W_A		Putative oxidoreductase; protein levels affected by URA3 expression in CAI-4 strain background; Efg1, Efh1 regulated; Rgt1-repressed; protein present in exponential and stationary growth phase yeast; rat catheter biofilm repressed	NADPH regeneration	cellular_component	oxidoreductase activity
orf6.4468	C6_02570C_A	SEC20	Essential protein; similar to S. cerevisiae Sec20p; depletion causes membrane accumulation and drug sensitivity; expression regulated by growth phase; O-mannosylation regulates proteolysis; does not complement S. cerevisiae sec20-1 mutant	cellular response to drug||fungal-type cell wall organization||retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	SNARE complex||endoplasmic reticulum||integral component of membrane||peroxisome	molecular_function
orf6.4469	C6_02580W_A		Protein with a predicted role in 5.8S rRNA processing; flow model biofilm induced	rRNA processing	cellular_component	endoribonuclease activity
orf6.447	C1_11480W_A	PHO84	High-affinity phosphate transporter; transcript regulated by white-opaque switch; Hog1, ciclopirox olamine or alkaline induced; caspofungin, stress repressed; required for normal TORC1 function	TORC1 signaling||cellular response to oxidative stress||hyphal growth||manganese ion transport||phosphate ion transport||plasma membrane selenite transport||polyphosphate metabolic process||positive regulation of replicative senescence||regulation of replicative cell aging	integral component of plasma membrane||membrane	high-affinity phosphate transmembrane transporter activity||inorganic phosphate transmembrane transporter activity||manganese ion transmembrane transporter activity||phosphate:proton symporter activity||selenite:proton symporter activity
orf6.4470	C6_02590C_A	MOB1	Putative mitotic exit network component; periodic mRNA expression, peak at cell-cycle G2/M phase	cellular calcium ion homeostasis||cellular protein localization||conidium formation||positive regulation of septation initiation signaling||protein phosphorylation||septin ring assembly	Sid2-Mob1 complex||cell septum||cellular bud neck||medial cortex||mitotic spindle pole body	protein kinase activator activity
orf6.4471	C6_02600W_A	NAB3	Putative nuclear polyadenylated RNA-binding protein; flucytosine repressed	CUT catabolic process||antisense RNA transcript catabolic process||mRNA 3'-end processing||nuclear mRNA surveillance||snRNA 3'-end processing||snoRNA 3'-end processing||tRNA 3'-end processing||termination of RNA polymerase II transcription, exosome-dependent	Nrd1 complex||cytoplasm||nucleus	nucleotide binding||transcription regulatory region RNA binding
orf6.4472	C5_01960C_A		Putative ortholog of human electron transfer flavoprotein dehydrogenase (ETF-dH); alkaline repressed; repressed by nitric oxide; virulence-group-correlated expression; Spider biofilm induced	oxidation-reduction process	mitochondrion	electron-transferring-flavoprotein dehydrogenase activity
orf6.4473	C5_01950C_A	RIM21	Plasma membrane pH-sensor involved in the Rim101 pH response pathway; required for processing and activation of Rim101 and for alkaline pH-induced hyphal growth; Spider biofilm induced	ascospore formation||cellular response to alkaline pH||cellular response to lithium ion||cellular response to neutral pH||cellular response to pH||filamentous growth||filamentous growth of a population of unicellular organisms in response to neutral pH||fungal-type cell wall biogenesis||invasive growth in response to glucose limitation||protein localization to plasma membrane||regulation of protein processing||regulation of vacuole organization	plasma membrane	molecular_function
orf6.4474	C5_01940W_A		Ortholog(s) have 2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity, pseudouridine synthase activity and role in riboflavin biosynthetic process, tRNA pseudouridine synthesis	riboflavin biosynthetic process||tRNA pseudouridine synthesis	cellular_component	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity||RNA binding||pseudouridine synthase activity||zinc ion binding
orf6.4475	C5_01930W_A		Ortholog(s) have RNA binding activity, role in mRNA 5'-splice site recognition and U2-type prespliceosome localization	mRNA 5'-splice site recognition	U2-type prespliceosome	RNA binding||zinc ion binding
orf6.4477	C5_01920C_A		Ortholog(s) have phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity, role in phosphatidylinositol dephosphorylation and endoplasmic reticulum localization	phosphatidylinositol dephosphorylation	endoplasmic reticulum	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
